Material,Steel
Geometry,Rectangular
Width,"0.12400",in
Thickness,"0.12400",in
Length,"2.00000",in

Time,Extension,Load
(s),(in),(lbf)
"18.29100","0.01219","143.44065"
"18.39100","0.01226","144.13262"
"18.49100","0.01233","144.64434"
"18.59100","0.01239","144.96035"
"18.69100","0.01246","145.77937"
"18.79100","0.01253","146.56304"
"18.89100","0.01260","147.10204"
"18.99100","0.01267","147.48586"
"19.09100","0.01273","148.07009"
"19.19100","0.01279","148.69346"
"19.29100","0.01287","149.49575"
"19.39100","0.01293","149.93428"
"19.49100","0.01299","150.28972"
"19.59100","0.01305","150.74613"
"19.69100","0.01312","151.60972"
"19.79100","0.01320","152.61101"
"19.89100","0.01327","153.04821"
"19.99100","0.01333","153.39105"
"20.09100","0.01339","153.90975"
"20.19100","0.01346","154.62766"
"20.29100","0.01353","155.39146"
"20.39100","0.01360","155.98590"
"20.49100","0.01366","156.36981"
"20.59100","0.01372","156.92927"
"20.69100","0.01380","157.89672"
"20.79100","0.01387","158.56852"
"20.89100","0.01393","158.84113"
"20.99100","0.01399","159.36842"
"21.09100","0.01406","160.02593"
"21.19100","0.01413","160.93955"
"21.29100","0.01420","161.44766"
"21.39100","0.01426","161.77995"
"21.49100","0.01432","162.20381"
"21.59100","0.01438","162.91917"
"21.69100","0.01447","164.01823"
"21.79100","0.01454","164.56631"
"21.89100","0.01460","164.80926"
"21.99100","0.01466","165.31132"
"22.09100","0.01472","165.95049"
"22.19100","0.01479","166.76939"
"22.29100","0.01486","167.38236"
"22.39100","0.01492","167.76520"
"22.49100","0.01499","168.30408"
"22.59100","0.01506","169.18727"
"22.69100","0.01514","169.92797"
"22.79100","0.01520","170.24195"
"22.89100","0.01526","170.77126"
"22.99100","0.01532","171.27630"
"23.09100","0.01540","172.16401"
"23.19100","0.01547","172.90599"
"23.29100","0.01553","173.11375"
"23.39100","0.01558","173.45729"
"23.49100","0.01565","174.22755"
"23.59100","0.01573","175.28012"
"23.69100","0.01581","175.93126"
"23.79100","0.01587","176.13605"
"23.89100","0.01593","176.54965"
"23.99100","0.01599","177.22421"
"24.09100","0.01606","178.00789"
"24.19100","0.01613","178.66903"
"24.29100","0.01620","179.07692"
"24.39100","0.01626","179.49087"
"24.49100","0.01633","180.44351"
"24.59100","0.01640","181.15159"
"24.69100","0.01646","181.49439"
"24.79100","0.01653","181.98050"
"24.89100","0.01659","182.49679"
"24.99100","0.01666","183.30727"
"25.09100","0.01674","184.07048"
"25.19100","0.01680","184.40901"
"25.29100","0.01685","184.67942"
"25.39100","0.01692","185.27640"
"25.49100","0.01700","186.36912"
"25.59100","0.01707","187.14853"
"25.69100","0.01713","187.39826"
"25.79100","0.01719","187.76998"
"25.89100","0.01726","188.32134"
"25.99100","0.01733","189.14051"
"26.09100","0.01740","189.86762"
"26.19100","0.01746","190.29506"
"26.29100","0.01752","190.53333"
"26.39100","0.01759","191.62915"
"26.49100","0.01767","192.27283"
"26.59100","0.01773","192.79724"
"26.69100","0.01780","193.15140"
"26.79100","0.01786","193.74449"
"26.89100","0.01793","194.41322"
"26.99100","0.01800","195.21230"
"27.09100","0.01806","195.62129"
"27.19100","0.01812","195.96782"
"27.29100","0.01818","196.42195"
"27.39100","0.01826","197.45430"
"27.49100","0.01834","198.46498"
"27.59100","0.01840","198.60314"
"27.69100","0.01846","199.15222"
"27.79100","0.01852","199.54059"
"27.89100","0.01859","200.33097"
"27.99100","0.01867","201.08878"
