Material,Nylon
Geometry,Circular
Length,"5.12000",in
Diameter,"0.062100",in

Time,Extension,Load
(s),(in),(lbf)
"18.40000","0.30671","16.19906"
"18.50000","0.30836","16.21709"
"18.60000","0.31003","16.25129"
"18.70000","0.31171","16.27151"
"18.80000","0.31337","16.29008"
"18.90000","0.31503","16.31769"
"19.00000","0.31670","16.33578"
"19.10000","0.31837","16.36051"
"19.20000","0.32003","16.38410"
"19.30000","0.32170","16.41205"
"19.40000","0.32337","16.43028"
"19.50000","0.32503","16.45070"
"19.60000","0.32670","16.46183"
"19.70000","0.32837","16.49936"
"19.80000","0.33002","16.51569"
"19.90000","0.33170","16.52931"
"20.00000","0.33337","16.56185"
"20.10000","0.33503","16.57651"
"20.20000","0.33669","16.59959"
"20.30000","0.33837","16.61758"
"20.40000","0.34004","16.63432"
"20.50000","0.34169","16.65182"
"20.60000","0.34337","16.67377"
"20.70000","0.34504","16.68875"
"20.80000","0.34670","16.71239"
"20.90000","0.34837","16.73422"
"21.00000","0.35004","16.75421"
"21.10000","0.35170","16.76957"
"21.20000","0.35336","16.78799"
"21.30000","0.35504","16.80437"
"21.40000","0.35670","16.82042"
"21.50000","0.35836","16.84054"
"21.60000","0.36003","16.86911"
"21.70000","0.36171","16.87983"
"21.80000","0.36336","16.89722"
"21.90000","0.36503","16.91731"
"22.00000","0.36671","16.93973"
"22.10000","0.36837","16.94697"
"22.20000","0.37002","16.96732"
"22.30000","0.37170","16.98176"
"22.40000","0.37337","17.00340"
"22.50000","0.37503","17.01804"
"22.60000","0.37670","17.02446"
"22.70000","0.37837","17.05250"
"22.80000","0.38003","17.07452"
"22.90000","0.38170","17.09020"
"23.00000","0.38337","17.11390"
"23.10000","0.38503","17.12336"
"23.20000","0.38670","17.14033"
"23.30000","0.38837","17.16817"
"23.40000","0.39003","17.17502"
"23.50000","0.39169","17.19660"
"23.60000","0.39337","17.21041"
"23.70000","0.39504","17.22917"
"23.80000","0.39669","17.24168"
"23.90000","0.39837","17.26258"
"24.00000","0.40004","17.27589"
